State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
53,Washington,075,Whitman,1989,Unspecified,Wheat,"Cold Winter",91834.40,5938.106470,2,781425.800000,4349.100000
53,Washington,075,Whitman,1989,Unspecified,Wheat,Drought,35364.80,1637.568950,2,205982.700000,1154.700000
53,Washington,075,Whitman,1989,Unspecified,Wheat,"Excess Moisture/precip/rain",4111.80,55.864080,1,8044.500000,40.200000
53,Washington,075,Whitman,1989,Unspecified,Wheat,Freeze,1994.00,175.287600,1,21876.000000,109.000000
53,Washington,075,Whitman,1989,2,Wheat,"Cold Wet Weather",0.00,0.000000,1,0.000000,0.000000
53,Washington,075,Whitman,1989,2,Wheat,"Cold Winter",261768.00,14430.515700,1,1985342.000000,10180.000000
53,Washington,075,Whitman,1989,2,Wheat,Drought,3676.00,68.031900,1,9796.000000,54.000000
53,Washington,075,Whitman,1989,2,Wheat,Freeze,33902.00,2363.665100,2,367391.000000,1832.000000
53,Washington,075,Whitman,1989,2,Wheat,Frost,11294.00,598.200000,1,81636.000000,419.000000
53,Washington,075,Whitman,1989,4,Wheat,Drought,0.00,0.000000,1,0.000000,0.000000
53,Washington,075,Whitman,1989,4,Wheat,Frost,927.00,215.500000,1,40731.000000,204.000000
53,Washington,075,Whitman,1989,5,Wheat,Drought,6312.00,310.409200,1,43636.000000,239.000000
53,Washington,075,Whitman,1989,6,Wheat,Drought,118072.00,7445.765200,1,971448.000000,5532.000000
53,Washington,075,Whitman,1989,6,Wheat,Heat,381522.00,26018.226600,1,3393743.000000,16877.000000
53,Washington,075,Whitman,1989,7,Wheat,"Cold Winter",602.00,200.720000,1,35643.000000,244.000000
53,Washington,075,Whitman,1989,7,Wheat,Drought,37981.00,1819.084200,1,263466.000000,1617.000000
53,Washington,075,Whitman,1989,7,Wheat,"Excess Moisture/precip/rain",0.00,0.000000,1,0.000000,0.000000
53,Washington,075,Whitman,1989,8,Wheat,"Cold Winter",19229.00,1310.840100,1,176669.000000,782.000000
53,Washington,075,Whitman,1989,8,Wheat,Drought,1136.00,238.900000,1,30660.000000,149.000000
53,Washington,075,Whitman,1989,8,Wheat,"Excess Moisture/precip/rain",135482.00,6279.675800,1,992315.000000,4426.000000
53,Washington,075,Whitman,1989,8,Wheat,Fire,3222.00,216.900000,1,33186.000000,133.000000
53,Washington,075,Whitman,1989,9,Wheat,"Cold Winter",30699.00,2137.714200,1,263546.000000,1468.000000
53,Washington,075,Whitman,1989,9,Wheat,"Excess Moisture/precip/rain",31145.00,1560.547600,1,241232.000000,1045.000000
53,Washington,075,Whitman,1989,9,Wheat,"No Indemnity",563.00,125.400000,1,50256.000000,256.000000
53,Washington,075,Whitman,1989,10,Wheat,"Cold Winter",1121.40,92.307600,1,12046.300000,72.100000
53,Washington,075,Whitman,1989,10,Wheat,Drought,55354.80,2220.615960,1,334747.700000,1538.100000
53,Washington,075,Whitman,1989,10,Wheat,"Excess Moisture/precip/rain",14572.20,613.769500,1,98559.400000,436.400000
53,Washington,075,Whitman,1989,10,Wheat,Freeze,18683.60,1037.013040,1,156858.600000,603.400000
53,Washington,075,Whitman,1989,10,Wheat,Heat,78322.00,2555.762200,1,361571.000000,1729.000000
53,Washington,075,Whitman,1990,Unspecified,Wheat,Heat,4668.00,176.654900,1,27010.000000,157.000000
53,Washington,075,Whitman,1990,4,Wheat,Drought,2379.00,48.700000,1,2653.000000,31.000000
53,Washington,075,Whitman,1990,6,Wheat,"Cold Wet Weather",272.00,16.675000,1,2849.000000,13.000000
53,Washington,075,Whitman,1990,6,Wheat,Drought,39447.20,755.453100,2,89703.000000,640.600000
53,Washington,075,Whitman,1990,6,Wheat,Heat,12562.80,198.600000,1,24186.000000,188.400000
53,Washington,075,Whitman,1990,7,Wheat,Heat,8571.00,99.900000,1,12165.000000,77.000000
53,Washington,075,Whitman,1990,8,Wheat,Drought,2669.00,137.000000,1,45112.000000,180.000000
53,Washington,075,Whitman,1990,9,Wheat,Drought,19030.00,736.200000,1,72860.000000,662.000000
53,Washington,075,Whitman,1990,9,Wheat,Heat,1405.00,48.900000,1,7086.000000,38.000000
53,Washington,075,Whitman,1990,10,Wheat,Drought,0.00,148.500000,1,45112.000000,180.000000
53,Washington,075,Whitman,1991,Unspecified,Wheat,Heat,44.40,5.862930,1,1029.000000,3.600000
53,Washington,075,Whitman,1991,1,Wheat,"Cold Winter",42797.00,1234.687300,1,199592.000000,877.000000
53,Washington,075,Whitman,1991,1,Wheat,Freeze,30808.00,2812.134100,1,384511.000000,2348.000000
53,Washington,075,Whitman,1991,1,Wheat,Heat,517.00,100.000000,1,12210.000000,76.000000
53,Washington,075,Whitman,1991,4,Wheat,"Cold Wet Weather",1274.00,87.900000,1,8517.000000,69.000000
53,Washington,075,Whitman,1991,5,Wheat,Drought,43750.00,2161.101600,1,276715.000000,1605.000000
53,Washington,075,Whitman,1991,6,Wheat,"Cold Winter",13854.00,606.903300,1,101742.000000,457.000000
53,Washington,075,Whitman,1991,6,Wheat,Drought,4952.00,1484.830400,2,249824.000000,1608.000000
53,Washington,075,Whitman,1991,6,Wheat,Frost,6099.00,303.000000,1,36816.000000,199.000000
53,Washington,075,Whitman,1991,7,Wheat,Drought,560.50,42.654650,1,7204.500000,32.500000
53,Washington,075,Whitman,1991,7,Wheat,Heat,33150.00,1668.300000,1,253269.000000,1227.000000
53,Washington,075,Whitman,1991,7,Wheat,"Hot Wind",10670.00,457.100000,1,60513.000000,448.000000
53,Washington,075,Whitman,1991,8,Wheat,Drought,2329.00,117.412000,1,20359.000000,102.000000
53,Washington,075,Whitman,1991,8,Wheat,Freeze,9874.00,317.289000,1,43838.000000,190.000000
53,Washington,075,Whitman,1991,8,Wheat,Frost,12116.00,733.130400,1,80219.000000,496.000000
53,Washington,075,Whitman,1991,9,Wheat,"Cold Winter",1485.00,25.600000,1,3864.000000,21.000000
53,Washington,075,Whitman,1991,9,Wheat,Frost,26810.00,1145.174000,1,144647.000000,904.000000
53,Washington,075,Whitman,1991,10,Wheat,"Cold Winter",4204.00,178.709500,1,30125.000000,122.000000
53,Washington,075,Whitman,1991,10,Wheat,Frost,0.00,132.000000,1,94074.000000,480.000000
53,Washington,075,Whitman,1991,10,Wheat,Heat,560.50,42.654650,1,7204.500000,32.500000
53,Washington,075,Whitman,1991,11,Wheat,Drought,1335.00,94.505400,1,17011.000000,61.000000
